District,Name,Raw Name,Party,#,Person Wiki URL,Vote on Laken Riley,Vote on Laken Riley Notes,Vote on Laken Riley Points
Alabama,Tommy Tuberville,Tommy Tuberville,Republican,2,https://en.wikipedia.org/wiki/Tommy_Tuberville,Yea,,-1
Alabama,Katie Britt,Katie Britt,Republican,3,https://en.wikipedia.org/wiki/Katie_Britt,Yea,,-1
Alaska,Lisa Murkowski,Lisa Murkowski,Republican,4,https://en.wikipedia.org/wiki/Lisa_Murkowski,Yea,,-1
Alaska,Dan Sullivan,Dan Sullivan,Republican,5,https://en.wikipedia.org/wiki/Dan_Sullivan_(U.S._senator),Yea,,-1
Arizona,Mark Kelly,Mark Kelly,Democratic,6,https://en.wikipedia.org/wiki/Mark_Kelly,Yea,,-1
Arizona,Ruben Gallego,Ruben Gallego,Democratic,7,https://en.wikipedia.org/wiki/Ruben_Gallego,Yea,,-1
Arkansas,John Boozman,John Boozman,Republican,8,https://en.wikipedia.org/wiki/John_Boozman,Yea,,-1
Arkansas,Tom Cotton,Tom Cotton,Republican,9,https://en.wikipedia.org/wiki/Tom_Cotton,Yea,,-1
California,Alex Padilla,Alex Padilla,Democratic,10,https://en.wikipedia.org/wiki/Alex_Padilla,Nay,,1
California,Adam Schiff,Adam Schiff,Democratic,11,https://en.wikipedia.org/wiki/Adam_Schiff,Nay,,1
Colorado,Michael Bennet,Michael Bennet,Democratic,12,https://en.wikipedia.org/wiki/Michael_Bennet,Nay,,1
Colorado,John Hickenlooper,John Hickenlooper,Democratic,13,https://en.wikipedia.org/wiki/John_Hickenlooper,Nay,,1
Connecticut,Richard Blumenthal,Richard Blumenthal,Democratic,14,https://en.wikipedia.org/wiki/Richard_Blumenthal,Nay,,1
Connecticut,Chris Murphy,Chris Murphy,Democratic,15,https://en.wikipedia.org/wiki/Chris_Murphy,Nay,,1
Delaware,Chris Coons,Chris Coons,Democratic,16,https://en.wikipedia.org/wiki/Chris_Coons,Nay,,1
Delaware,Lisa Blunt Rochester,Lisa Blunt Rochester,Democratic,17,https://en.wikipedia.org/wiki/Lisa_Blunt_Rochester,Nay,,1
Florida,Rick Scott,Rick Scott,Republican,18,https://en.wikipedia.org/wiki/Rick_Scott,Yea,,-1
Florida,Ashley Moody,Ashley Moody,Republican,19,https://en.wikipedia.org/wiki/Ashley_Moody,N/A,Vacant seat at time of voting,0
Georgia,Jon Ossoff,Jon Ossoff,Democratic,20,https://en.wikipedia.org/wiki/Jon_Ossoff,Yea,,-1
Georgia,Raphael Warnock,Raphael Warnock,Democratic,21,https://en.wikipedia.org/wiki/Raphael_Warnock,Yea,,-1
Hawaii,Brian Schatz,Brian Schatz,Democratic,22,https://en.wikipedia.org/wiki/Brian_Schatz,Nay,,1
Hawaii,Mazie Hirono,Mazie Hirono,Democratic,23,https://en.wikipedia.org/wiki/Mazie_Hirono,Nay,,1
Idaho,Mike Crapo,Mike Crapo,Republican,24,https://en.wikipedia.org/wiki/Mike_Crapo,Yea,,-1
Idaho,Jim Risch,Jim Risch,Republican,25,https://en.wikipedia.org/wiki/Jim_Risch,Yea,,-1
Illinois,Dick Durbin,Dick Durbin,Democratic,26,https://en.wikipedia.org/wiki/Dick_Durbin,Nay,,1
Illinois,Tammy Duckworth,Tammy Duckworth,Democratic,27,https://en.wikipedia.org/wiki/Tammy_Duckworth,Nay,,1
Indiana,Todd Young,Todd Young,Republican,28,https://en.wikipedia.org/wiki/Todd_Young,Yea,,-1
Indiana,Jim Banks,Jim Banks,Republican,29,https://en.wikipedia.org/wiki/Jim_Banks,Yea,,-1
Iowa,Chuck Grassley,Chuck Grassley,Republican,30,https://en.wikipedia.org/wiki/Chuck_Grassley,Yea,,-1
Iowa,Joni Ernst,Joni Ernst,Republican,31,https://en.wikipedia.org/wiki/Joni_Ernst,Yea,,-1
Kansas,Jerry Moran,Jerry Moran,Republican,32,https://en.wikipedia.org/wiki/Jerry_Moran,Yea,,-1
Kansas,Roger Marshall,Roger Marshall,Republican,33,https://en.wikipedia.org/wiki/Roger_Marshall,Yea,,-1
Kentucky,Mitch McConnell,Mitch McConnell,Republican,34,https://en.wikipedia.org/wiki/Mitch_McConnell,Yea,,-1
Kentucky,Rand Paul,Rand Paul,Republican,35,https://en.wikipedia.org/wiki/Rand_Paul,Yea,,-1
Louisiana,Bill Cassidy,Bill Cassidy,Republican,36,https://en.wikipedia.org/wiki/Bill_Cassidy,Yea,,-1
Louisiana,John Kennedy,John Kennedy,Republican,37,https://en.wikipedia.org/wiki/John_Kennedy_(Louisiana_politician),Yea,,-1
Maine,Susan Collins,Susan Collins,Republican,38,https://en.wikipedia.org/wiki/Susan_Collins,Yea,,-1
Maine,Angus King,Angus King,Democratic,39,https://en.wikipedia.org/wiki/Angus_King,Nay,,1
Maryland,Chris Van Hollen,Chris Van Hollen,Democratic,40,https://en.wikipedia.org/wiki/Chris_Van_Hollen,Nay,,1
Maryland,Angela Alsobrooks,Angela Alsobrooks,Democratic,41,https://en.wikipedia.org/wiki/Angela_Alsobrooks,Nay,,1
Massachusetts,Elizabeth Warren,Elizabeth Warren,Democratic,42,https://en.wikipedia.org/wiki/Elizabeth_Warren,Nay,,1
Massachusetts,Ed Markey,Ed Markey,Democratic,43,https://en.wikipedia.org/wiki/Ed_Markey,Nay,,1
Michigan,Gary Peters,Gary Peters,Democratic,44,https://en.wikipedia.org/wiki/Gary_Peters,Yea,,-1
Michigan,Elissa Slotkin,Elissa Slotkin,Democratic,45,https://en.wikipedia.org/wiki/Elissa_Slotkin,Yea,,-1
Minnesota,Amy Klobuchar,Amy Klobuchar,Democratic,46,https://en.wikipedia.org/wiki/Amy_Klobuchar,Nay,,1
Minnesota,Tina Smith,Tina Smith,Democratic,47,https://en.wikipedia.org/wiki/Tina_Smith,Nay,,1
Mississippi,Roger Wicker,Roger Wicker,Republican,48,https://en.wikipedia.org/wiki/Roger_Wicker,Yea,,-1
Mississippi,Cindy Hyde-Smith,Cindy Hyde-Smith,Republican,49,https://en.wikipedia.org/wiki/Cindy_Hyde-Smith,Yea,,-1
Missouri,Josh Hawley,Josh Hawley,Republican,50,https://en.wikipedia.org/wiki/Josh_Hawley,Yea,,-1
Missouri,Eric Schmitt,Eric Schmitt,Republican,51,https://en.wikipedia.org/wiki/Eric_Schmitt,Yea,,-1
Montana,Steve Daines,Steve Daines,Republican,52,https://en.wikipedia.org/wiki/Steve_Daines,Yea,,-1
Montana,Tim Sheehy,Tim Sheehy,Republican,53,https://en.wikipedia.org/wiki/Tim_Sheehy,Yea,,-1
Nebraska,Deb Fischer,Deb Fischer,Republican,54,https://en.wikipedia.org/wiki/Deb_Fischer,Yea,,-1
Nebraska,Pete Ricketts,Pete Ricketts,Republican,55,https://en.wikipedia.org/wiki/Pete_Ricketts,Yea,,-1
Nevada,Catherine Cortez Masto,Catherine Cortez Masto,Democratic,56,https://en.wikipedia.org/wiki/Catherine_Cortez_Masto,Yea,,-1
Nevada,Jacky Rosen,Jacky Rosen,Democratic,57,https://en.wikipedia.org/wiki/Jacky_Rosen,Yea,,-1
New Hampshire,Jeanne Shaheen,Jeanne Shaheen,Democratic,58,https://en.wikipedia.org/wiki/Jeanne_Shaheen,Yea,,-1
New Hampshire,Maggie Hassan,Maggie Hassan,Democratic,59,https://en.wikipedia.org/wiki/Maggie_Hassan,Yea,,-1
New Jersey,Cory Booker,Cory Booker,Democratic,60,https://en.wikipedia.org/wiki/Cory_Booker,Nay,,1
New Jersey,Andy Kim,Andy Kim,Democratic,61,https://en.wikipedia.org/wiki/Andy_Kim_(politician),Nay,,1
New Mexico,Martin Heinrich,Martin Heinrich,Democratic,62,https://en.wikipedia.org/wiki/Martin_Heinrich,Nay,,1
New Mexico,Ben Ray Luján,Ben Ray Luján,Democratic,63,https://en.wikipedia.org/wiki/Ben_Ray_Luj%C3%A1n,Nay,,1
New York,Chuck Schumer,Chuck Schumer,Democratic,64,https://en.wikipedia.org/wiki/Chuck_Schumer,Nay,,1
New York,Kirsten Gillibrand,Kirsten Gillibrand,Democratic,65,https://en.wikipedia.org/wiki/Kirsten_Gillibrand,Nay,,1
North Carolina,Thom Tillis,Thom Tillis,Republican,66,https://en.wikipedia.org/wiki/Thom_Tillis,Yea,,-1
North Carolina,Ted Budd,Ted Budd,Republican,67,https://en.wikipedia.org/wiki/Ted_Budd,Yea,,-1
North Dakota,John Hoeven,John Hoeven,Republican,68,https://en.wikipedia.org/wiki/John_Hoeven,Yea,,-1
North Dakota,Kevin Cramer,Kevin Cramer,Republican,69,https://en.wikipedia.org/wiki/Kevin_Cramer,Yea,,-1
Ohio,Bernie Moreno,Bernie Moreno,Republican,70,https://en.wikipedia.org/wiki/Bernie_Moreno,Yea,,-1
Ohio,Jon Husted,Jon Husted,Republican,71,https://en.wikipedia.org/wiki/Jon_Husted,N/A,Vacant seat at time of voting,0
Oklahoma,James Lankford,James Lankford,Republican,72,https://en.wikipedia.org/wiki/James_Lankford,Yea,,-1
Oklahoma,Markwayne Mullin,Markwayne Mullin,Republican,73,https://en.wikipedia.org/wiki/Markwayne_Mullin,Yea,,-1
Oregon,Ron Wyden,Ron Wyden,Democratic,74,https://en.wikipedia.org/wiki/Ron_Wyden,Nay,,1
Oregon,Jeff Merkley,Jeff Merkley,Democratic,75,https://en.wikipedia.org/wiki/Jeff_Merkley,Nay,,1
Pennsylvania,John Fetterman,John Fetterman,Democratic,76,https://en.wikipedia.org/wiki/John_Fetterman,Yea,,-1
Pennsylvania,Dave McCormick,Dave McCormick,Republican,77,https://en.wikipedia.org/wiki/Dave_McCormick,Yea,,-1
Rhode Island,Jack Reed,Jack Reed,Democratic,78,https://en.wikipedia.org/wiki/Jack_Reed_(Rhode_Island_politician),Nay,,1
Rhode Island,Sheldon Whitehouse,Sheldon Whitehouse,Democratic,79,https://en.wikipedia.org/wiki/Sheldon_Whitehouse,Nay,,1
South Carolina,Lindsey Graham,Lindsey Graham,Republican,80,https://en.wikipedia.org/wiki/Lindsey_Graham,Yea,,-1
South Carolina,Tim Scott,Tim Scott,Republican,81,https://en.wikipedia.org/wiki/Tim_Scott,Yea,,-1
South Dakota,John Thune,John Thune,Republican,82,https://en.wikipedia.org/wiki/John_Thune,Yea,,-1
South Dakota,Mike Rounds,Mike Rounds,Republican,83,https://en.wikipedia.org/wiki/Mike_Rounds,Yea,,-1
Tennessee,Marsha Blackburn,Marsha Blackburn,Republican,84,https://en.wikipedia.org/wiki/Marsha_Blackburn,Yea,,-1
Tennessee,Bill Hagerty,Bill Hagerty,Republican,85,https://en.wikipedia.org/wiki/Bill_Hagerty,Yea,,-1
Texas,John Cornyn,John Cornyn,Republican,86,https://en.wikipedia.org/wiki/John_Cornyn,Yea,,-1
Texas,Ted Cruz,Ted Cruz,Republican,87,https://en.wikipedia.org/wiki/Ted_Cruz,Yea,,-1
Utah,Mike Lee,Mike Lee,Republican,88,https://en.wikipedia.org/wiki/Mike_Lee,Yea,,-1
Utah,John Curtis,John Curtis,Republican,89,https://en.wikipedia.org/wiki/John_Curtis,Yea,,-1
Vermont,Bernie Sanders,Bernie Sanders,Democratic,90,https://en.wikipedia.org/wiki/Bernie_Sanders,Nay,,1
Vermont,Peter Welch,Peter Welch,Democratic,91,https://en.wikipedia.org/wiki/Peter_Welch,Nay,,1
Virginia,Mark Warner,Mark Warner,Democratic,92,https://en.wikipedia.org/wiki/Mark_Warner,Yea,,-1
Virginia,Tim Kaine,Tim Kaine,Democratic,93,https://en.wikipedia.org/wiki/Tim_Kaine,Nay,,1
Washington,Patty Murray,Patty Murray,Democratic,94,https://en.wikipedia.org/wiki/Patty_Murray,Nay,,1
Washington,Maria Cantwell,Maria Cantwell,Democratic,95,https://en.wikipedia.org/wiki/Maria_Cantwell,Nay,,1
West Virginia,Shelley Moore Capito,Shelley Moore Capito,Republican,96,https://en.wikipedia.org/wiki/Shelley_Moore_Capito,Yea,,-1
West Virginia,Jim Justice,Jim Justice,Republican,97,https://en.wikipedia.org/wiki/Jim_Justice,Yea,,-1
Wisconsin,Ron Johnson,Ron Johnson,Republican,98,https://en.wikipedia.org/wiki/Ron_Johnson,Yea,,-1
Wisconsin,Tammy Baldwin,Tammy Baldwin,Democratic,99,https://en.wikipedia.org/wiki/Tammy_Baldwin,Nay,,1
Wyoming,John Barrasso,John Barrasso,Republican,100,https://en.wikipedia.org/wiki/John_Barrasso,Yea,,-1
Wyoming,Cynthia Lummis,Cynthia Lummis,Republican,101,https://en.wikipedia.org/wiki/Cynthia_Lummis,Yea,,-1